user_x, user_y, agv_x, agv_y, gaze_vector_x, gaze_vector_y, gaze_vector_z, user_yaw, agv_user_distance_x, agv_user_distance_y, agv_speed_x, agv_speed_y, user_velocity_x, user_velocity_y, is_user_moving, intent_to_cross, gazing_station, gazing_station_cos, facing_sidewalk, facing_road, on_sidewalk, on_road, closest_station, distance_to_closest_station_x, distance_to_closest_station_y, looking_at_agv, start_station_id, end_station_id, distance_from_start_station_x, distance_from_start_station_y, distance_from_end_station_x, distance_from_end_station_y, facing_start_station, facing_end_station
7553.722168,5944.62793,847.197083,6672.846191,-0.459366,-0.870761,-0.172549,45,6706.525085,728.218262,0.004883,0.091309,0,0,FALSE,FALSE,6,0.558092,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.192322,6672.754883,-0.460125,-0.882181,-0.098167,45,6706.529846,728.126953,0.004761,0.091309,0,0,FALSE,FALSE,6,0.56197,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.187378,6672.662598,-0.446333,-0.889,-0.102514,45,6706.53479,728.034668,0.004944,0.092285,0,0,FALSE,FALSE,6,0.574694,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.182373,6672.570801,-0.45225,-0.885,-0.110528,45,6706.539795,727.942871,0.005005,0.091797,0,0,FALSE,FALSE,6,0.568847,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.727051,5944.609863,847.177368,6672.478516,-0.448208,-0.886819,-0.112333,45,6706.549683,727.868652,0.005005,0.092285,0.004883,-0.018066,FALSE,FALSE,6,0.572486,FALSE,FALSE,FALSE,FALSE,6,85.272949,158.609863,FALSE,8,6,5765.272949,148.609863,85.272949,158.609863,FALSE,FALSE
7553.984863,5943.694824,847.172424,6672.387207,-0.438155,-0.890239,-0.124366,45,6706.812439,728.692383,0.004944,0.091309,0.257812,-0.915039,FALSE,FALSE,6,0.580206,FALSE,FALSE,FALSE,FALSE,6,85.015137,157.694824,FALSE,8,6,5765.015137,147.694824,85.015137,157.694824,FALSE,FALSE
7554.231445,5942.82373,847.167358,6672.296387,-0.433347,-0.893903,-0.114167,45,6707.064087,729.472656,0.005066,0.09082,0.246582,-0.871094,FALSE,FALSE,6,0.584165,FALSE,FALSE,FALSE,FALSE,6,84.768555,156.82373,FALSE,8,6,5764.768555,146.82373,84.768555,156.82373,FALSE,FALSE
7554.251953,5942.75,847.162292,6672.204102,-0.433597,-0.892236,-0.126444,45,6707.089661,729.454102,0.005066,0.092285,0.020508,-0.07373,FALSE,FALSE,6,0.583308,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.251953,5942.75,847.157166,6672.112305,-0.438264,-0.889931,-0.126611,45,6707.094788,729.362305,0.005127,0.091797,0,0,FALSE,FALSE,6,0.579039,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.251953,5942.75,847.151917,6672.02002,-0.583819,-0.796361,-0.119542,45,6707.100037,729.27002,0.005249,0.092285,0,0,FALSE,FALSE,4,0.660677,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.251953,5942.75,847.146729,6671.928223,-0.508028,-0.845583,-0.091875,45,6707.105225,729.178223,0.005188,0.091797,0,0,FALSE,FALSE,4,0.589247,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.251953,5942.75,847.141541,6671.836914,-0.336085,-0.935803,-0.102338,45,6707.110413,729.086914,0.005188,0.091309,0,0,FALSE,FALSE,6,0.667138,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.251953,5942.75,847.136292,6671.745605,-0.445806,-0.877333,-0.122111,45,6707.115662,728.995605,0.005249,0.091309,0,0,FALSE,FALSE,6,0.568777,FALSE,FALSE,FALSE,FALSE,6,84.748047,156.75,FALSE,8,6,5764.748047,146.75,84.748047,156.75,FALSE,FALSE
7554.425781,5942.09082,847.131042,6671.653809,-0.646944,-0.752722,-0.121139,45,6707.294739,729.562988,0.005249,0.091797,0.173828,-0.65918,FALSE,FALSE,4,0.716453,FALSE,FALSE,FALSE,FALSE,6,84.574219,156.09082,FALSE,8,6,5764.574219,146.09082,84.574219,156.09082,FALSE,FALSE
7554.619141,5941.358887,847.125671,6671.561523,-0.602625,-0.793319,-0.084014,45,6707.493469,730.202637,0.005371,0.092285,0.193359,-0.731934,FALSE,FALSE,4,0.672769,FALSE,FALSE,FALSE,FALSE,6,84.380859,155.358887,FALSE,8,6,5764.380859,145.358887,84.380859,155.358887,FALSE,FALSE
7554.619141,5941.358887,847.1203,6671.469727,-0.506569,-0.855736,-0.066236,45,6707.49884,730.11084,0.005371,0.091797,0,0,FALSE,FALSE,4,0.583317,FALSE,FALSE,FALSE,FALSE,6,84.380859,155.358887,FALSE,8,6,5764.380859,145.358887,84.380859,155.358887,FALSE,FALSE
7554.710449,5941.010254,847.114868,6671.37793,-0.450708,-0.890167,-0.067028,45,6707.595581,730.367676,0.005432,0.091797,0.091309,-0.348633,FALSE,FALSE,6,0.567989,FALSE,FALSE,FALSE,FALSE,6,84.289551,155.010254,FALSE,8,6,5764.289551,145.010254,84.289551,155.010254,FALSE,FALSE
7554.880371,5940.36377,847.109863,6671.29248,-0.456774,-0.885968,-0.080016,45,6707.770508,730.928711,0.005005,0.085449,0.169922,-0.646484,FALSE,FALSE,6,0.561188,FALSE,FALSE,FALSE,FALSE,6,84.119629,154.36377,FALSE,8,6,5764.119629,144.36377,84.119629,154.36377,FALSE,FALSE
