User_X,User_Y,AGV_distance_X,AGV_distance_Y,AGV_speed_X,AGV_speed_Y,AGV_speed,User_speed_X,User_speed_Y,User_speed,User_velocity_X,User_velocity_Y,Wait_time,intent_to_cross,Gazing_station,possible_interaction,facing_along_sidewalk,facing_to_road,On_sidewalks,On_road,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,looking_at_AGV,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,looking_at_closest_station
1499.034,8541.65,21.99223,11.62473,0.1057,6.2671,6.267991297,0.9583,0.4242,1.047990711,-0.9583,-0.4242,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,162.896641,80.966,141.35,TRUE,0.852,-0.37,-0.37,3698.257,9704.123,TRUE
1490.148,8537.843,22.07302,11.00061,0.0882,7.3164,7.316931611,0.5726,0.2296,0.616917272,-0.5726,-0.2296,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,170.7159528,89.852,145.157,TRUE,0.867,-0.344,-0.36,3697.45,9637.904,TRUE
1481.68,8534.281,22.14934,10.3976,0.0959,6.5247,6.525404731,1.33,0.6881,1.497458383,-1.33,-0.6881,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,178.2811357,98.32,148.719,TRUE,0.878,-0.326,-0.35,3696.614,9574.041,TRUE
1471.585,8527.194,22.23348,9.80845,0.2156,6.5597,6.563242145,1.2453,0.875,1.521971448,-1.2453,-0.875,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,189.8139138,108.415,155.806,TRUE,0.875,-0.33,-0.353,3694.933,9508.039,TRUE
1457.12,8518.102,22.35814,9.23952,0.1701,6.4967,6.498926442,1.5918,0.9751,1.866720989,-1.5918,-0.9751,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,205.6473798,122.88,164.898,TRUE,0.879,-0.32,-0.354,3692.934,9442.054,TRUE
1440.014,8507.436,22.51386,8.6908,0.1596,6.7676,6.769481658,1.7059,1.0815,2.019835899,-1.7059,-1.0815,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,224.5413064,139.986,175.564,TRUE,0.871,-0.314,-0.377,3691.4,9376.516,TRUE
1427.048,8499.143,22.62674,8.1185,0.2044,6.9083,6.911323191,1.0108,0.651,1.202296819,-1.0108,-0.651,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,239.1604289,152.952,183.857,TRUE,0.86,-0.311,-0.404,3689.722,9310.993,TRUE
1417.159,8492.799,22.6974,7.52395,0.2989,6.6584,6.665105533,0.9639,0.6146,1.143169441,-0.9639,-0.6146,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,250.3869239,162.841,190.201,TRUE,0.841,-0.303,-0.448,3686.899,9245.194,TRUE
1408.118,8487.139,22.76525,6.92867,0.2149,6.552,6.555523321,1.0206,0.6293,1.199017452,-1.0206,-0.6293,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,260.5857886,171.882,195.861,TRUE,0.84,-0.304,-0.449,3684.643,9180.006,TRUE
1397.108,8480.493,22.85273,6.33754,0.2464,6.6535,6.65806092,1.1186,0.665,1.301341984,-1.1186,-0.665,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,272.8709745,182.892,202.507,TRUE,0.835,-0.322,-0.446,3682.381,9114.247,TRUE
1383.471,8472.511,22.95785,5.76748,0.3206,6.4694,6.477339015,1.4203,0.8281,1.644080807,-1.4203,-0.8281,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,287.9744207,196.529,210.489,TRUE,0.832,-0.322,-0.451,3679.256,9049.259,TRUE
1371.099,8464.763,23.0541,5.19321,0.266,6.5149,6.52032806,1.2243,0.8134,1.469874161,-1.2243,-0.8134,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,302.1043131,208.901,218.237,TRUE,0.841,-0.315,-0.439,3676.509,8984.084,TRUE
1359.489,8456.533,23.14196,4.62233,0.3045,6.4736,6.480757457,1.12,0.8316,1.394976186,-1.12,-0.8316,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,316.089233,220.511,226.467,TRUE,0.847,-0.324,-0.422,3673.685,8918.766,TRUE
1350.537,8449.286,23.18962,4.03681,0.4788,6.3966,6.414494602,0.4039,0.3689,0.547012267,-0.4039,-0.3689,0,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,327.5293913,229.463,233.714,TRUE,0.841,-0.336,-0.424,3669.499,8852.967,TRUE
1341.815,8440.791,23.23854,3.4693,0.3535,6.5835,6.592983733,0.9842,1.0129,1.412308766,-0.9842,-1.0129,0,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,339.701772,238.185,242.209,TRUE,0.833,-0.354,-0.424,3665.669,8787.721,TRUE
1331.467,8429.51,23.30667,2.92991,0.3465,6.3434,6.352856508,1.0346,1.1606,1.554795652,-1.0346,-1.1606,0,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,355.0011721,248.533,253.49,TRUE,0.823,-0.375,-0.427,3662.134,8722.501,TRUE
1321.087,8417.646,23.37391,2.39309,0.3801,6.5128,6.523882268,1.0262,1.1746,1.559734465,-1.0262,-1.1746,0,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,370.7407273,258.913,265.354,TRUE,0.798,-0.385,-0.464,3658.478,8656.955,TRUE
1314.864,8411.085,23.38909,1.81313,0.5628,6.321,6.346005424,0.3934,0.2478,0.464939136,-0.3934,-0.2478,0,FALSE,6,FALSE,TRUE,FALSE,TRUE,FALSE,1,379.7826559,265.136,271.915,TRUE,0.768,-0.38,-0.516,3653.773,8592.398,FALSE
1308.736,8406.271,23.39471,1.19865,0.4746,6.6388,6.655742678,0.6671,0.5901,0.890640455,-0.6671,-0.5901,0,FALSE,4,FALSE,TRUE,FALSE,TRUE,FALSE,1,387.5088349,271.264,276.729,TRUE,0.755,-0.385,-0.531,3648.207,8526.136,FALSE
1304.678,8403.507,23.38947,0.57823,0.462,6.4785,6.494952367,0.3227,0.1764,0.36776657,-0.3227,-0.1764,0,FALSE,4,FALSE,TRUE,FALSE,TRUE,FALSE,1,392.324535,275.322,279.493,TRUE,0.753,-0.398,-0.523,3643.625,8461.33,FALSE
1300.881,8401.472,23.37878,0.0535,0.5138,6.3854,6.406038058,0.2359,0.126,0.267441227,-0.2359,-0.126,0,FALSE,4,FALSE,TRUE,FALSE,TRUE,FALSE,1,396.4409552,279.119,281.528,TRUE,0.754,-0.417,-0.508,3638.759,8396.122,FALSE
