AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1282.574,7100.713,1743.609,6712.707,0.856,-0.368,-0.363
AGV1,1295.722,7087.707,1743.609,6712.707,0.86,-0.366,-0.355
AGV1,1310.201,7075.972,1743.609,6712.707,0.872,-0.371,-0.32
AGV1,1327.134,7063.11,1743.609,6712.707,0.862,-0.365,-0.351
AGV1,1341.227,7051.265,1743.609,6712.707,0.892,-0.275,-0.358
AGV1,1344.467,7049.717,1743.609,6712.707,0.882,-0.272,-0.383
AGV1,1355.278,7045.668,1743.609,6712.707,0.871,-0.263,-0.414
AGV1,1363.188,7043.276,1743.609,6712.707,0.859,-0.246,-0.449
AGV1,1369.163,7041.319,1743.609,6712.707,0.891,-0.118,-0.437
AGV1,1376.926,7037.825,1743.609,6712.707,0.882,-0.111,-0.456
AGV1,1385.326,7034.402,1743.609,6712.707,0.88,-0.137,-0.454
AGV1,1394.315,7031.772,1743.609,6712.707,0.897,-0.22,-0.381
AGV1,1408.469,7025.816,1743.609,6712.707,0.898,-0.251,-0.36
AGV1,1423.136,7016.968,1743.609,6712.707,0.893,-0.256,-0.369
AGV1,1432.675,7010.954,1743.609,6712.707,0.885,-0.256,-0.388
AGV1,1446.606,7005.471,1743.609,6712.707,0.903,-0.263,-0.339
AGV1,1462.773,6999.637,1743.609,6712.707,0.901,-0.262,-0.345
AGV1,1487.446,6990.331,1743.609,6712.707,0.896,-0.25,-0.366
AGV1,1514.702,6979.664,1743.609,6712.707,0.866,-0.255,-0.43
AGV1,1536.077,6971.391,1743.609,6712.707,0.871,-0.262,-0.416
AGV1,1554.968,6966.329,1743.609,6712.707,0.85,-0.263,-0.456
AGV1,1573.543,6963.097,1743.609,6712.707,0.847,-0.273,-0.455
AGV1,1596.074,6960.712,1743.609,6712.707,0.868,-0.238,-0.435
AGV1,1619.169,6959.722,1743.609,6712.707,0.866,-0.225,-0.445
AGV1,1629.623,6960.904,1743.609,6712.707,0.848,-0.252,-0.466
AGV1,1629.153,6960.948,1743.609,6712.707,0.842,-0.271,-0.465
AGV1,1636.374,6958.966,1743.609,6712.707,0.812,-0.298,-0.501
AGV1,1654.118,6954.025,1743.609,6712.707,0.826,-0.26,-0.5
AGV1,1664.759,6951.02,1743.609,6712.707,0.827,-0.239,-0.508
AGV1,1678.055,6948.888,1743.609,6712.707,0.856,-0.243,-0.456
AGV1,1696.675,6945.186,1743.609,6712.707,0.852,-0.24,-0.465
AGV1,1713.175,6940.988,1743.609,6712.707,0.795,-0.241,-0.555
AGV1,1731.612,6936.457,1743.609,6712.707,0.787,-0.109,-0.607
AGV1,1749.756,6932.243,1743.609,6712.707,0.791,-0.071,-0.607
AGV1,1763.51,6929.346,1743.609,6712.707,0.751,0.038,-0.658
AGV1,1778.101,6926.646,1743.609,6712.707,0.724,0.028,-0.689
AGV1,1795.2,6923.764,1743.609,6712.707,0.723,0.02,-0.69
AGV1,1814.996,6920.662,1743.609,6712.707,0.723,-0.021,-0.69
AGV1,1835.676,6917.31,1743.609,6712.707,0.695,-0.056,-0.716
AGV1,1857.529,6913.268,1743.609,6712.707,0.653,-0.063,-0.754
AGV1,1877.373,6908.887,1743.609,6712.707,0.616,-0.06,-0.785
AGV1,1896.382,6903.607,1743.609,6712.707,0.677,-0.234,-0.697
AGV1,1916.251,6896.93,1743.609,6712.707,0.611,-0.301,-0.732
AGV1,1935.881,6889.331,1743.609,6712.707,0.597,-0.278,-0.752
AGV1,1945.57,6885.618,1743.609,6712.707,0.544,-0.229,-0.807
AGV1,1956.497,6885.033,1743.609,6712.707,0.542,-0.227,-0.809
AGV1,1969.517,6885.242,1743.609,6712.707,0.509,-0.219,-0.832
AGV1,1985.813,6884.424,1743.571,6712.701,0.504,-0.194,-0.841
AGV1,2002.536,6882.926,1742.441,6712.543,0.529,-0.119,-0.84
AGV1,2020.226,6881.823,1739.674,6712.156,0.522,-0.039,-0.852
AGV1,2030.591,6881.526,1735.305,6711.544,0.465,-0.064,-0.882
AGV1,2031.999,6880.301,1729.379,6710.714,0.422,-0.102,-0.901
AGV1,2038.848,6875.91,1721.871,6709.663,0.389,-0.151,-0.908
AGV1,2048.148,6871.337,1712.745,6708.386,0.335,-0.336,-0.88
AGV1,2061.678,6866.601,1701.959,6706.875,0.345,-0.328,-0.879
AGV1,2079.519,6859.172,1689.614,6705.147,0.259,-0.318,-0.912
AGV1,2097.037,6850.74,1675.655,6703.121,0.203,-0.271,-0.941
AGV1,2111.479,6843.043,1660.009,6700.348,0.165,-0.257,-0.952
AGV1,2126.24,6834.758,1643.171,6697.001,0.205,-0.461,-0.863
AGV1,2140.098,6826.909,1624.604,6693.246,0.238,-0.502,-0.831
AGV1,2156.065,6817.854,1605.082,6687.625,0.033,-0.81,-0.585
AGV1,2172.784,6807.941,1584.936,6680.235,-0.031,-0.89,-0.455
